episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-32.7645,65,-32.7645,-32.7645,0
2,-122.2957,226,-77.5301,-32.7645,0
3,-37.0315,86,-64.0306,-32.7645,0
4,-349.3901,1000,-135.3704,-32.7645,0
5,-9.8045,38,-110.2573,-9.8045,0
6,-28.1931,40,-96.5799,-9.8045,0
7,-14.7437,16,-84.889,-9.8045,0
8,-8.0075,125,-75.2788,-8.0075,0
9,-41.3434,72,-71.5082,-8.0075,0
10,-144.2809,160,-78.7855,-8.0075,0
11,-33.0658,112,-74.6291,-8.0075,0
12,-340.7888,1000,-96.8091,-8.0075,0
13,-196.133,253,-104.4494,-8.0075,0
14,-5.2257,32,-97.362,-5.2257,0
15,-292.0354,672,-110.3402,-5.2257,0
16,-30.5466,34,-105.3531,-5.2257,0
17,-19.0149,85,-100.2744,-5.2257,0
18,-32.7326,127,-96.5221,-5.2257,0
19,-2.5131,57,-91.5742,-2.5131,0
20,-22.617,72,-88.1264,-2.5131,0
21,-23.9363,27,-85.0697,-2.5131,0
22,-21.4511,34,-82.178,-2.5131,0
23,30.5517,55,-77.2767,30.5517,0
24,-3.9737,138,-74.2224,30.5517,0
25,-47.346,90,-73.1473,30.5517,0
26,-39.7523,121,-71.8629,30.5517,0
27,-0.3719,75,-69.2151,30.5517,0
28,-306.3125,1000,-77.6828,30.5517,0
29,-32.7252,38,-76.1326,30.5517,0
30,-52.384,55,-75.341,30.5517,0
31,-27.0399,52,-73.7829,30.5517,0
32,-70.9084,94,-73.693,30.5517,0
33,-8.4193,17,-71.715,30.5517,0
34,-13.9903,86,-70.0173,30.5517,0
35,-29.7144,170,-68.8657,30.5517,0
36,-16.1143,44,-67.4004,30.5517,0
37,-16.71,34,-66.0304,30.5517,0
38,-47.128,184,-65.533,30.5517,0
39,-18.7635,48,-64.3338,30.5517,0
40,-4.5499,38,-62.8392,30.5517,0
41,-55.9582,157,-62.6713,30.5517,0
42,6.5046,61,-61.0243,30.5517,0
43,-87.5785,207,-61.6418,30.5517,0
44,-92.4859,122,-62.3428,30.5517,0
45,-35.6617,32,-61.7499,30.5517,0
46,-11.2903,17,-60.653,30.5517,0
47,-16.0477,40,-59.7039,30.5517,0
48,-6.2372,12,-58.59,30.5517,0
49,-1.9549,70,-57.4342,30.5517,0
50,-9.9616,14,-56.4848,30.5517,0
51,-98.353,161,-57.3057,30.5517,0
52,-6.9766,29,-56.3378,30.5517,0
53,2.5321,35,-55.2271,30.5517,0
54,-26.0003,36,-54.6858,30.5517,0
55,-99.4636,215,-55.5,30.5517,0
56,6.397,44,-54.3947,30.5517,0
57,-44.1489,105,-54.2149,30.5517,0
58,-42.7271,43,-54.0169,30.5517,0
59,-14.8766,35,-53.3535,30.5517,0
60,-4.1546,15,-52.5335,30.5517,0
61,-57.0727,128,-52.6079,30.5517,0
62,-326.6214,1000,-57.0275,30.5517,0
63,-16.4073,57,-56.3827,30.5517,0
64,3.0791,23,-55.4536,30.5517,0
65,2.5409,26,-54.5614,30.5517,0
66,22.4853,30,-53.394,30.5517,0
67,-35.7753,88,-53.1311,30.5517,0
68,0.905,110,-52.3364,30.5517,0
69,-53.6986,93,-52.3562,30.5517,0
70,-110.9792,201,-53.1936,30.5517,0
71,73.2118,1000,-51.4133,73.2118,0
