episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-357.5786,1000,-357.5786,-357.5786,0
2,0.6567,16,-178.4609,0.6567,0
3,-13.3683,39,-123.4301,0.6567,0
4,-213.0903,525,-145.8451,0.6567,0
5,-4.1084,16,-117.4978,0.6567,0
6,-78.0574,90,-110.9244,0.6567,0
7,-6.7839,117,-96.0472,0.6567,0
8,-15.7629,90,-86.0116,0.6567,0
9,-3.8632,77,-76.884,0.6567,0
10,-43.8156,158,-73.5772,0.6567,0
11,5.6649,52,-66.3734,5.6649,0
12,-109.9348,175,-70.0035,5.6649,0
13,-408.5296,1000,-96.044,5.6649,0
14,32.6403,127,-86.8522,32.6403,0
15,-10.2457,102,-81.7451,32.6403,0
16,20.6724,26,-75.344,32.6403,0
17,-29.0961,44,-72.6236,32.6403,0
18,-353.325,1000,-88.2181,32.6403,0
19,-296.2434,1000,-99.1668,32.6403,0
20,6.74,107,-93.8714,32.6403,0
21,-22.6633,149,-90.4806,32.6403,0
22,-63.3373,90,-89.2468,32.6403,0
23,-35.511,134,-86.9105,32.6403,0
24,-1.8399,62,-83.3659,32.6403,0
25,-13.1916,28,-80.5589,32.6403,0
26,-5.8472,21,-77.6854,32.6403,0
27,-71.9677,134,-77.4736,32.6403,0
28,-420.7935,1000,-89.735,32.6403,0
29,-63.7414,105,-88.8387,32.6403,0
30,-33.9193,152,-87.008,32.6403,0
31,-37.9488,64,-85.4255,32.6403,0
32,-15.2123,63,-83.2313,32.6403,0
33,-62.0094,55,-82.5882,32.6403,0
34,-40.4885,51,-81.35,32.6403,0
35,-2.1031,13,-79.0858,32.6403,0
36,1.6688,82,-76.8426,32.6403,0
37,1.4571,48,-74.7264,32.6403,0
38,-64.6522,131,-74.4613,32.6403,0
39,-374.8011,1000,-82.1623,32.6403,0
40,-19.7217,21,-80.6013,32.6403,0
41,-10.9098,37,-78.9015,32.6403,0
42,-95.6155,153,-79.2995,32.6403,0
43,-45.9234,99,-78.5233,32.6403,0
44,-555.6052,1000,-89.3661,32.6403,0
45,716.7788,1000,-71.4517,716.7788,0
46,774.0578,1000,-53.0711,774.0578,0
47,684.0806,1000,-37.387,774.0578,0
48,709.5164,1000,-21.8265,774.0578,0
49,567.1696,1000,-9.8062,774.0578,0
50,707.7623,1000,4.5452,774.0578,0
51,586.2039,1000,15.9503,774.0578,0
52,177.0907,213,19.0491,774.0578,0
53,118.9175,155,20.9334,774.0578,0
54,123.1355,150,22.826,774.0578,0
55,374.3539,1000,29.2175,774.0578,0
56,114.462,137,30.7397,774.0578,0
57,10.5145,61,30.3849,774.0578,0
58,401.6366,1000,36.7858,774.0578,0
59,435.446,1000,43.5427,774.0578,0
60,55.9333,310,43.7492,774.0578,0
61,21.834,60,43.3899,774.0578,0
62,-0.0926,54,42.6886,774.0578,0
63,104.3152,148,43.6668,774.0578,0
64,34.949,68,43.5306,774.0578,0
65,377.3363,1000,48.6661,774.0578,0
66,386.6867,1000,53.7876,774.0578,0
