episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-136.7402,91,-136.7402,-136.7402,0
2,-75.1246,184,-105.9324,-75.1246,0
3,-47.2646,145,-86.3765,-47.2646,0
4,5.4339,11,-63.4239,5.4339,0
5,-23.8616,38,-55.5114,5.4339,0
6,-9.2404,255,-47.7996,5.4339,0
7,-34.1358,44,-45.8476,5.4339,0
8,-353.5797,1000,-84.3141,5.4339,0
9,-4.8784,34,-75.4879,5.4339,0
10,14.0629,22,-66.5328,14.0629,0
11,-38.6911,22,-64.0018,14.0629,0
12,5.7064,33,-58.1928,14.0629,0
13,-21.0961,29,-55.3392,14.0629,0
14,-8.1267,56,-51.9669,14.0629,0
15,1.1567,26,-48.4253,14.0629,0
16,-40.141,98,-47.9075,14.0629,0
17,12.7275,43,-44.3408,14.0629,0
18,-298.8314,1000,-58.4791,14.0629,0
19,-36.889,77,-57.3428,14.0629,0
20,-17.1789,101,-55.3346,14.0629,0
21,-1.3428,15,-52.7636,14.0629,0
22,-49.7135,177,-52.6249,14.0629,0
23,-5.4106,147,-50.5721,14.0629,0
24,-32.9092,45,-49.8362,14.0629,0
25,-29.3758,137,-49.0178,14.0629,0
26,-7.2914,33,-47.4129,14.0629,0
27,-2.4927,18,-45.7492,14.0629,0
28,-27.7958,106,-45.108,14.0629,0
29,-29.7959,79,-44.58,14.0629,0
30,-11.0015,30,-43.4607,14.0629,0
31,-8.6175,15,-42.3367,14.0629,0
32,19.6432,54,-40.3999,19.6432,0
33,-0.9809,45,-39.2054,19.6432,0
34,-25.2864,41,-38.796,19.6432,0
35,-23.6918,164,-38.3644,19.6432,0
36,-15.9547,77,-37.7419,19.6432,0
37,-5.1575,33,-36.8613,19.6432,0
38,-28.4099,44,-36.6389,19.6432,0
39,-49.8847,101,-36.9785,19.6432,0
40,-409.1627,1000,-46.2831,19.6432,0
41,-197.9552,382,-49.9824,19.6432,0
42,-116.6187,394,-51.569,19.6432,0
43,-423.9761,1000,-60.2296,19.6432,0
44,-33.8916,100,-59.631,19.6432,0
45,8.7552,65,-58.1114,19.6432,0
46,-16.1738,89,-57.1997,19.6432,0
47,9.3148,30,-55.7845,19.6432,0
48,-38.2315,77,-55.4188,19.6432,0
49,-0.6403,127,-54.3008,19.6432,0
50,-55.2997,143,-54.3208,19.6432,0
51,-13.1314,48,-53.5132,19.6432,0
52,-56.7713,77,-53.5758,19.6432,0
53,-9.4789,21,-52.7438,19.6432,0
54,-25.8316,23,-52.2455,19.6432,0
55,-5.7213,39,-51.3996,19.6432,0
56,-367.3858,1000,-57.0422,19.6432,0
57,-63.096,185,-57.1484,19.6432,0
58,-59.0073,69,-57.1804,19.6432,0
59,-30.0498,144,-56.7206,19.6432,0
60,-167.0713,540,-58.5598,19.6432,0
61,-27.6352,15,-58.0528,19.6432,0
62,188.2797,1000,-54.0797,188.2797,0
63,676.2852,1000,-42.4866,676.2852,0
64,665.2481,1000,-31.4283,676.2852,0
65,646.4726,1000,-20.999,676.2852,0
66,707.3959,1000,-9.9627,707.3959,0
67,293.83,1000,-5.4285,707.3959,0
68,8.2493,25,-5.2274,707.3959,0
69,451.2283,1000,1.3879,707.3959,0
