episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-73.5105,115,-73.5105,-73.5105,0
2,-12.7686,18,-43.1395,-12.7686,0
3,-7.0903,81,-31.1231,-7.0903,0
4,-301.5526,1000,-98.7305,-7.0903,0
5,-356.5297,1000,-150.2903,-7.0903,0
6,-23.5406,96,-129.1654,-7.0903,0
7,-53.3933,118,-118.3408,-7.0903,0
8,-87.5452,84,-114.4913,-7.0903,0
9,-60.2662,124,-108.4663,-7.0903,0
10,-15.1657,13,-99.1363,-7.0903,0
11,-15.0332,39,-91.4905,-7.0903,0
12,-11.5316,31,-84.8273,-7.0903,0
13,-40.9842,75,-81.4547,-7.0903,0
14,-23.1335,44,-77.2889,-7.0903,0
15,-24.0119,149,-73.7371,-7.0903,0
16,3.5867,63,-68.9044,3.5867,0
17,-20.0888,114,-66.0329,3.5867,0
18,-17.0223,38,-63.3101,3.5867,0
19,-20.1741,62,-61.0398,3.5867,0
20,-7.4652,14,-58.361,3.5867,0
21,-185.2289,319,-64.4024,3.5867,0
22,-52.1525,165,-63.8456,3.5867,0
23,-373.1142,1000,-77.292,3.5867,0
24,-22.0426,42,-74.99,3.5867,0
25,10.6269,26,-71.5653,10.6269,0
26,-8.6657,19,-69.1461,10.6269,0
27,-322.0916,1000,-78.5144,10.6269,0
28,-0.7332,30,-75.7365,10.6269,0
29,-12.499,18,-73.5559,10.6269,0
30,-15.0066,38,-71.6043,10.6269,0
31,-8.6163,126,-69.5724,10.6269,0
32,-50.5348,74,-68.9775,10.6269,0
33,-16.3715,28,-67.3834,10.6269,0
34,-46.4121,51,-66.7666,10.6269,0
35,-2.5335,68,-64.9313,10.6269,0
36,-31.5091,34,-64.0029,10.6269,0
37,-26.7099,60,-62.995,10.6269,0
38,-3.6256,38,-61.4327,10.6269,0
39,3.8133,13,-59.7597,10.6269,0
40,-320.4743,1000,-66.2776,10.6269,0
41,-12.6449,119,-64.9694,10.6269,0
42,-52.7977,97,-64.6796,10.6269,0
43,-13.1893,15,-63.4822,10.6269,0
44,-19.3929,53,-62.4802,10.6269,0
45,-42.3581,112,-62.033,10.6269,0
46,-17.2882,46,-61.0603,10.6269,0
47,-46.664,63,-60.754,10.6269,0
48,-429.0337,1000,-68.4265,10.6269,0
49,-4.1956,13,-67.1156,10.6269,0
50,-1.8378,65,-65.8101,10.6269,0
51,-58.6908,65,-65.6705,10.6269,0
52,-64.0041,135,-65.6384,10.6269,0
53,-39.4834,140,-65.145,10.6269,0
54,28.252,134,-63.4154,28.252,0
55,1.2809,14,-62.2391,28.252,0
56,7.1207,37,-61.0005,28.252,0
57,-9.1334,41,-60.0906,28.252,0
58,-26.2425,45,-59.507,28.252,0
59,-44.151,154,-59.2467,28.252,0
60,-61.8316,69,-59.2898,28.252,0
61,-22.764,131,-58.691,28.252,0
62,-365.2587,1000,-63.6356,28.252,0
63,728.2539,1000,-51.066,728.2539,0
64,732.0972,1000,-38.829,732.0972,0
