episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-9.9981,32,-9.9981,-9.9981,0
2,-20.0377,76,-15.0179,-9.9981,0
3,-9.7627,24,-13.2662,-9.7627,0
4,-94.3795,125,-33.5445,-9.7627,0
5,-147.9271,448,-56.421,-9.7627,0
6,-29.6957,71,-51.9668,-9.7627,0
7,-45.4195,184,-51.0315,-9.7627,0
8,-82.1564,119,-54.9221,-9.7627,0
9,-80.6358,249,-57.7792,-9.7627,0
10,-15.8859,47,-53.5898,-9.7627,0
11,-36.4474,81,-52.0314,-9.7627,0
12,-38.371,69,-50.8931,-9.7627,0
13,-17.3732,27,-48.3146,-9.7627,0
14,-6.8272,47,-45.3512,-6.8272,0
15,-49.1632,149,-45.6054,-6.8272,0
16,-38.3223,61,-45.1502,-6.8272,0
17,-18.6949,84,-43.594,-6.8272,0
18,-29.3502,50,-42.8027,-6.8272,0
19,-21.5312,82,-41.6831,-6.8272,0
20,-78.1958,126,-43.5087,-6.8272,0
21,-4.6205,44,-41.6569,-4.6205,0
22,-103.1801,275,-44.4534,-4.6205,0
23,-37.9891,87,-44.1724,-4.6205,0
24,-30.2479,51,-43.5922,-4.6205,0
25,-25.3437,46,-42.8622,-4.6205,0
26,-16.5861,39,-41.8516,-4.6205,0
27,-8.9034,17,-40.6313,-4.6205,0
28,4.7293,27,-39.0113,4.7293,0
29,4.1997,38,-37.5213,4.7293,0
30,-51.024,84,-37.9714,4.7293,0
31,6.9603,44,-36.5219,6.9603,0
32,-66.5722,146,-37.461,6.9603,0
33,-78.228,120,-38.6964,6.9603,0
34,-26.4839,39,-38.3372,6.9603,0
35,-4.8465,42,-37.3803,6.9603,0
36,-17.5589,36,-36.8297,6.9603,0
37,-61.6231,139,-37.4998,6.9603,0
38,-39.0777,108,-37.5413,6.9603,0
39,-34.0297,41,-37.4513,6.9603,0
40,-0.9953,27,-36.5399,6.9603,0
41,-40.9925,159,-36.6485,6.9603,0
42,-5.8586,38,-35.9154,6.9603,0
43,-61.5913,176,-36.5125,6.9603,0
44,-21.8451,70,-36.1792,6.9603,0
45,5.3178,36,-35.257,6.9603,0
46,-11.2388,24,-34.7349,6.9603,0
47,-29.7191,31,-34.6281,6.9603,0
48,2.0413,32,-33.8642,6.9603,0
49,20.3671,121,-32.7574,20.3671,0
50,-12.2088,42,-32.3465,20.3671,0
51,-27.5122,136,-32.2517,20.3671,0
52,-8.6607,27,-31.798,20.3671,0
53,-26.754,63,-31.7028,20.3671,0
54,-113.9976,242,-33.2268,20.3671,0
55,-117.4944,186,-34.759,20.3671,0
56,-43.3485,77,-34.9123,20.3671,0
57,0.4963,96,-34.2911,20.3671,0
58,17.192,99,-33.4035,20.3671,0
59,-18.3226,24,-33.1479,20.3671,0
60,-40.8832,176,-33.2768,20.3671,0
61,-13.3748,68,-32.9505,20.3671,0
62,3.1071,30,-32.369,20.3671,0
63,-21.6871,92,-32.1994,20.3671,0
64,-1.6371,17,-31.7219,20.3671,0
65,-13.2457,77,-31.4376,20.3671,0
66,-394.655,1000,-36.9409,20.3671,0
67,1.9669,70,-36.3602,20.3671,0
68,-0.4205,14,-35.8317,20.3671,0
69,-5.0701,74,-35.3859,20.3671,0
70,-86.3763,143,-36.1143,20.3671,0
71,16.5008,39,-35.3732,20.3671,0
72,-2.9284,31,-34.9226,20.3671,0
73,-29.1624,137,-34.8437,20.3671,0
74,-18.8106,94,-34.6271,20.3671,0
75,-26.2941,32,-34.5159,20.3671,0
76,16.2247,40,-33.8483,20.3671,0
77,-20.9046,36,-33.6802,20.3671,0
78,-34.7861,32,-33.6944,20.3671,0
79,-7.5284,92,-33.3632,20.3671,0
80,-94.8565,114,-34.1318,20.3671,0
81,-15.1091,16,-33.897,20.3671,0
82,2.9144,13,-33.4481,20.3671,0
83,3.0473,16,-33.0084,20.3671,0
84,-2.192,14,-32.6415,20.3671,0
85,-302.6288,1000,-35.8178,20.3671,0
86,-7.8057,41,-35.4921,20.3671,0
87,-19.6634,57,-35.3102,20.3671,0
88,-41.1376,102,-35.3764,20.3671,0
89,-56.482,140,-35.6135,20.3671,0
90,-12.6482,92,-35.3584,20.3671,0
91,-117.657,159,-36.2627,20.3671,0
92,-1.3447,20,-35.8832,20.3671,0
93,32.9112,61,-35.1435,32.9112,0
94,-12.1623,118,-34.899,32.9112,0
95,10.2229,53,-34.424,32.9112,0
96,-19.5465,80,-34.269,32.9112,0
97,8.2105,30,-33.8311,32.9112,0
98,-2.2753,14,-33.5091,32.9112,0
99,-55.0818,80,-33.727,32.9112,0
100,-93.4144,1000,-34.3239,32.9112,0
101,515.7246,1000,-29.0667,515.7246,0
102,556.6666,1000,-23.2996,556.6666,0
103,586.1397,1000,-17.3406,586.1397,0
104,622.0158,1000,-10.1766,622.0158,0
105,475.2265,738,-3.9451,622.0158,0
106,485.3907,1000,1.2058,622.0158,0
107,50.9837,63,2.1698,622.0158,0
108,12.7066,36,3.1184,622.0158,0
109,40.2051,85,4.3268,622.0158,0
110,14.6418,26,4.6321,622.0158,0
