episode,total_reward,steps,rolling_mean_100,max_reward,solved
1,-16.1273,28,-16.1273,-16.1273,0
2,-410.0138,1000,-213.0706,-16.1273,0
3,-7.9362,82,-144.6924,-7.9362,0
4,-5.7604,18,-109.9594,-5.7604,0
5,-317.5006,1000,-151.4677,-5.7604,0
6,-37.8343,61,-132.5288,-5.7604,0
7,-8.4026,65,-114.7965,-5.7604,0
8,-14.5428,44,-102.2648,-5.7604,0
9,-7.1257,51,-91.6938,-5.7604,0
10,-14.3227,178,-83.9567,-5.7604,0
11,-15.5065,74,-77.7339,-5.7604,0
12,-3.2372,15,-71.5259,-3.2372,0
13,-410.9024,1000,-97.6317,-3.2372,0
14,-365.2947,1000,-116.7505,-3.2372,0
15,-8.2021,10,-109.514,-3.2372,0
16,-33.1047,108,-104.7384,-3.2372,0
17,8.2673,30,-98.091,8.2673,0
18,6.6765,22,-92.2706,8.2673,0
19,-12.9695,23,-88.0968,8.2673,0
20,-1.1175,28,-83.7479,8.2673,0
21,-8.754,17,-80.1767,8.2673,0
22,10.8272,51,-76.0402,10.8272,0
23,13.6331,28,-72.1414,13.6331,0
24,-370.8964,1000,-84.5895,13.6331,0
25,-126.3101,252,-86.2583,13.6331,0
26,-21.1904,72,-83.7557,13.6331,0
27,-71.291,217,-83.294,13.6331,0
28,-8.6101,21,-80.6268,13.6331,0
29,-40.5504,94,-79.2448,13.6331,0
30,-64.4355,96,-78.7512,13.6331,0
31,-12.7439,48,-76.6219,13.6331,0
32,23.1533,90,-73.5039,23.1533,0
33,15.4106,56,-70.8095,23.1533,0
34,-29.1481,60,-69.5842,23.1533,0
35,-5.0372,48,-67.74,23.1533,0
36,-74.1712,133,-67.9187,23.1533,0
37,-60.2279,74,-67.7108,23.1533,0
38,5.9074,18,-65.7735,23.1533,0
39,-97.8559,258,-66.5961,23.1533,0
40,-5.9319,17,-65.0795,23.1533,0
41,-52.8377,38,-64.7809,23.1533,0
42,-1.6977,15,-63.2789,23.1533,0
43,-43.9664,36,-62.8298,23.1533,0
44,-17.7206,35,-61.8046,23.1533,0
45,23.3226,130,-59.9129,23.3226,0
46,-31.1897,24,-59.2885,23.3226,0
47,-137.6457,260,-60.9556,23.3226,0
48,-2.2322,36,-59.7322,23.3226,0
49,26.718,76,-57.9679,26.718,0
50,-14.0906,69,-57.0904,26.718,0
51,-52.8902,78,-57.008,26.718,0
52,-52.1692,112,-56.915,26.718,0
53,6.6735,66,-55.7152,26.718,0
54,-54.718,96,-55.6967,26.718,0
55,4.6529,34,-54.5995,26.718,0
56,-80.9486,131,-55.07,26.718,0
57,-38.9984,67,-54.788,26.718,0
58,-49.9454,49,-54.7045,26.718,0
59,-126.1099,291,-55.9148,26.718,0
60,26.7933,74,-54.5363,26.7933,0
61,-39.5232,44,-54.2902,26.7933,0
62,-35.4548,26,-53.9864,26.7933,0
63,-30.0209,61,-53.606,26.7933,0
64,-5.1598,15,-52.849,26.7933,0
65,-28.3899,44,-52.4727,26.7933,0
66,-8.7433,16,-51.8102,26.7933,0
67,25.5895,107,-50.655,26.7933,0
68,-124.9887,108,-51.7481,26.7933,0
69,-7.7821,16,-51.1109,26.7933,0
70,-3.8063,51,-50.4351,26.7933,0
71,-68.6167,251,-50.6912,26.7933,0
72,-0.8597,1000,-49.9991,26.7933,0
73,563.1388,1000,-41.6,563.1388,0
74,655.0907,1000,-32.1852,655.0907,0
75,605.4694,1000,-23.6832,655.0907,0
76,569.7075,1000,-15.8754,655.0907,0
77,453.9701,1000,-9.7735,655.0907,0
78,383.3687,1000,-4.7332,655.0907,0
79,275.5579,1000,-1.1852,655.0907,0
80,317.822,1000,2.8024,655.0907,0
81,4.7235,24,2.8261,655.0907,0
82,2.7789,139,2.8255,655.0907,0
83,27.3309,70,3.1208,655.0907,0
84,77.8294,294,4.0101,655.0907,0
85,252.3696,1000,6.932,655.0907,0
86,20.636,69,7.0914,655.0907,0
87,87.3848,282,8.0143,655.0907,0
88,296.5206,1000,11.2928,655.0907,0
89,1.8524,47,11.1867,655.0907,0
90,52.8082,100,11.6492,655.0907,0
